cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,evprob_inc,evprob_chal,evprob_3rd,total_ev,timestamp,simulations
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.001225,0,,76,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0009,0,,75,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00095,0,,74,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000625,.000025,,73,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.001025,0,,72,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0008,0,,71,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00075,0,,70,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,0,,7,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0007,0,,69,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0011,0,,68,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0007,0,,67,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00075,0,,66,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000725,0,,65,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000475,0,,64,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00135,0,,63,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00065,0,,62,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00065,0,,61,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000675,0,,60,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,0,,6,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00035,.000025,,59,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00035,.000025,,58,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000575,0,,57,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000425,0,,56,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0006,0,,55,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000675,0,,54,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000025,,538,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000125,,537,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,0,,536,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000075,,535,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0004,,534,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000025,,533,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000075,,532,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,0,,531,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000175,,530,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00035,0,,53,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0001,,529,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00015,,528,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000125,,527,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000025,,526,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00005,,525,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000175,,524,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000025,,523,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000275,,522,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0002,,521,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000075,,520,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0008,0,,52,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00015,,519,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00005,,518,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000125,,517,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000125,,516,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000125,,515,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0001,,514,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00015,,513,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00035,,512,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0001,,511,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000175,,510,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0009,0,,51,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000375,,509,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00025,,508,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0003,,507,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00035,,506,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000275,,505,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000325,,504,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00035,,503,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0004,,502,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00045,,501,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.0001,,500,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000225,0,,50,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,0,,5,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000275,,499,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000325,,498,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00025,,497,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0004,,496,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000625,,495,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000325,,494,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.000475,,493,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000475,,492,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00015,,491,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00055,,490,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0003,0,,49,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0003,,489,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000225,,488,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0009,,487,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0008,,486,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00035,,485,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000675,,484,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0006,,483,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000425,,482,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000575,,481,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00035,,480,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00055,0,,48,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00035,,479,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000675,,478,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00065,,477,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00065,,476,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00135,,475,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000475,,474,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.000725,,473,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00075,,472,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0007,,471,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0011,,470,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00015,0,,47,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0007,,469,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00075,,468,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0008,,467,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001025,,466,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.000625,,465,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00095,,464,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0009,,463,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001225,,462,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001425,,461,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00075,,460,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000475,0,,46,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00085,,459,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00125,,458,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0011,,457,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001375,,456,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001875,,455,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.0007,,454,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.001175,,453,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0018,,452,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.00115,,451,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001325,,450,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000475,.000025,,45,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001775,,449,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00075,,448,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001275,,447,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0022,,446,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00205,,445,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00275,,444,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001125,,443,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00205,,442,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.002225,,441,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00155,,440,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000325,0,,44,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001825,,439,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.00295,,438,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001575,,437,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00365,,436,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0046,,435,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.002775,,434,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.001325,,433,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.002375,,432,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.003,,431,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.001775,,430,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000625,0,,43,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.0039,,429,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.005375,,428,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.002225,,427,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.0036,,426,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.006525,,425,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.001375,,424,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.002725,,423,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.00835,,422,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0027,,421,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.0018,,420,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0004,0,,42,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00925,,419,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0018,,418,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.001775,,417,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.01705,,416,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.0032,,415,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00135,,414,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.025875,,413,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.0086,,412,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.0012,,411,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.00245,,410,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00025,0,,41,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.001875,,409,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00015,.0012,,408,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00015,.0061,,407,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",0,.0072,,406,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.001025,,405,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0002,.001525,,404,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.00235,,403,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00005,.001875,,402,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.001425,,401,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.003475,,400,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000325,0,,40,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0004,0,,4,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.00115,,399,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.001475,,398,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.005875,,397,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0002,.0022,,396,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.0018,,395,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.00235,,394,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.001225,,393,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000125,.0018,,392,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.003775,,391,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000125,.0031,,390,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000275,0,,39,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00015,.00185,,389,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.00455,,388,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.002325,,387,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.00135,,386,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000025,.001625,,385,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000075,.00315,,384,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000275,.0016,,383,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000325,.001675,,382,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.005075,,381,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000125,.001825,,380,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.000025,,38,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.0016,,379,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00025,.008275,,378,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00015,.002025,,377,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000325,.00175,,376,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000375,.0218,,375,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000275,.0056,,374,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0002,.001875,,373,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0002,.004,,372,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.002225,,371,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.0015,,370,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00045,0,,37,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000275,.0112,,369,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000275,.00995,,368,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000325,.00185,,367,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0004,.00165,,366,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0001,.00385,,365,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000175,.003775,,364,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0008,.002625,,363,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.00185,.0058,,362,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.000425,.00175,,361,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.0004,.00245,,360,16:34:03  2 Oct 2020,40000
